Gender,Category,Activity,Context,District,Material,Birthplace,Deathplace,Deathyear_nn,Birthyear_nn,Made_nn,Age_nn
f,Culture,Creative_Arts,NSresistance_persecuted,Tiergarten,Metall_Stahl,other,outside Germany,1992,1901,0,91
m,History,Politics_Administration,Prussian_times,Tiergarten,"Bronze, Messing, Kupfer",other,outside Germany,1955,1872,0,83
m,History,Politics_Administration,NSresistance_persecuted,Mitte,Porzellan,Leipzig,KZ or NS_capture,1945,1884,1994,61
m,Culture,Creative_Arts,NovemberRevolution_Weimar,Moabit,"Bronze, Messing, Kupfer",Berlin,outside Germany,1935,1890,0,45
m,History,Military_Police,NSresistance_persecuted,Mitte,"Bronze, Messing, Kupfer",other,Berlin,1953,1880,1995,73
m,Culture,Creative_Arts,NovemberRevolution_Weimar,Moabit,"Bronze, Messing, Kupfer",Berlin,outside Germany,1935,1890,0,45
m,Culture,Creative_Arts,no_specific_context,Tiergarten,Metall_Stahl,Berlin,Berlin,1943,1868,2007,75
m,History,Medical,Jewish,Wedding,"Bronze, Messing, Kupfer",other,outside Germany,1954,1879,0,75
f,Science and Research,Education_School,NSresistance_persecuted,Wedding,"Bronze, Messing, Kupfer",other,KZ or NS_capture,0,1877,1997,-1877
m,History,Military_Police,no_specific_context,Tiergarten,Stein,no_information,no_information,1871,0,0,1871
f,History,Socialists,NSresistance_persecuted,Mitte,Metall_Stahl,no_information,KZ or NS_capture,1944,0,0,1944
f,Culture,Creative_Arts,NSresistance_persecuted,Hansaviertel,Acrylglas,other,KZ or NS_capture,1942,1924,0,18
f,History,PublicPlaces_Buildings,no_specific_context,Mitte,other,Berlin,Berlin,1929,1864,1995,65
m,Culture,Creative_Arts,no_specific_context,Mitte,Porzellan,other,Berlin,1975,1901,1995,74
m,Religion and Philosophy,Christian_Church,other,Mitte,Porzellan,Berlin,Berlin,1767,1707,1994,60
m,Science and Research,Science_otherResearch,no_specific_context,Mitte,Porzellan,other,Berlin,1817,1743,1995,74
m,History,Politics_Administration,Prussian_times,Mitte,"Bronze, Messing, Kupfer",other,other in Germany,1831,1757,0,74
m,Religion and Philosophy,Christian_Church,NSresistance_persecuted,Wedding,"Bronze, Messing, Kupfer",other,KZ or NS_capture,1944,1887,0,57
m,History,Politics_Administration,Prussian_times,Mitte,Porzellan,other,Berlin,1886,1817,1996,69
m,Business,Chairman_Business_Finances,other,Mitte,Porzellan,other,Berlin,1775,1710,1996,65
m,Science and Research,Medical,no_specific_context,Mitte,"Bronze, Messing, Kupfer",other,Berlin,1929,1850,1996,79
m,History,Politics_Administration,SocialPolicy_issues,Mitte,"Bronze, Messing, Kupfer",other,Berlin,1947,1867,1997,80
m,Culture,Creative_Arts,Prussian_times,Mitte,Stein,other,Berlin,1868,1817,0,51
m,Religion and Philosophy,Christian_Church,other,Mitte,"Bronze, Messing, Kupfer",other,other in Germany,1898,1828,0,70
m,Science and Research,Science_otherResearch,no_specific_context,Mitte,"Bronze, Messing, Kupfer",other,Berlin,1867,1785,1997,82
m,History,Socialists,NSresistance_persecuted,Mitte,"Bronze, Messing, Kupfer",no_information,no_information,0,0,0,0
m,Religion and Philosophy,other,no_specific_context,Mitte,"Bronze, Messing, Kupfer",other,outside Germany,1855,1813,1997,42
f,Science and Research,Medical,no_specific_context,Mitte,Metall_Stahl,other,Berlin,1911,1834,1998,77
m,Culture,Creative_Arts,no_specific_context,Mitte,"Bronze, Messing, Kupfer",other,outside Germany,1856,1797,1956,59
m,Culture,Creative_Arts,no_specific_context,Mitte,"Bronze, Messing, Kupfer",Berlin,Berlin,1832,1758,0,74
m,Culture,Creative_Arts,no_specific_context,Mitte,"Bronze, Messing, Kupfer",other,other in Germany,1813,1791,0,22
groups of mixed gender,Culture,Creative_Arts,no_specific_context,Mitte,"Bronze, Messing, Kupfer",no_information,no_information,0,0,0,0
m,Science and Research,Science_otherResearch,no_specific_context,Mitte,"Bronze, Messing, Kupfer",other,Berlin,1821,1738,1998,83
groups of mixed gender,Culture,Creative_Arts,no_specific_context,Mitte,"Bronze, Messing, Kupfer",other,other in Germany,1833,1754,0,79
m,Culture,Creative_Arts,no_specific_context,Mitte,Porzellan,other,Berlin,1793,1756,1998,37
m,Culture,Creative_Arts,GDR_GDR_personality,Mitte,Stein,Berlin,Berlin,1976,1888,0,88
m,History,Politics_Administration,other_countries,Mitte,"Bronze, Messing, Kupfer",other,Baden-Baden,1883,1798,1998,85
m,Science and Research,Science_otherResearch,NSresistance_persecuted,Mitte,Acrylglas,other,Berlin,1943,1894,0,49
m,Culture,Architecture,no_specific_context,Mitte,Metall_Stahl,other,Berlin,1940,1868,1999,72
m,Business,Chairman_Business_Finances,no_specific_context,Mitte,other,Breslau,Berlin,1854,1804,0,50
groups of mixed gender,Culture,Creative_Arts,no_specific_context,Mitte,"Bronze, Messing, Kupfer",other,Berlin,1956,1898,1978,58
m,Science and Research,Medical,no_specific_context,Mitte,"Bronze, Messing, Kupfer",other,Berlin,1873,1795,1999,78
m,Business,Chairman_Business_Finances,no_specific_context,Mitte,"Bronze, Messing, Kupfer",other,Berlin,1947,1883,1999,64
m,Science and Research,Medical,no_specific_context,Mitte,other,other,Baden-Baden,1910,1843,0,67
m,Science and Research,Science_otherResearch,no_specific_context,Mitte,"Bronze, Messing, Kupfer",Berlin,Berlin,1859,1769,0,90
m,Culture,Creative_Arts,no_specific_context,Mitte,other,other,Berlin,1898,1819,0,79
m,Culture,Creative_Arts,other_countries,Mitte,Metall_Stahl,other,Berlin,1857,1804,2000,53
m,Religion and Philosophy,Christian_Church,other,Mitte,"Bronze, Messing, Kupfer",other,Berlin,1859,1797,2000,62
m,Culture,Creative_Arts,other_countries,Mitte,"Bronze, Messing, Kupfer",other,no_information,0,1815,2000,-1815
m,History,Education_School,no_specific_context,Mitte,"Bronze, Messing, Kupfer",Berlin,other in Germany,1977,1888,2001,89
m,Culture,Creative_Arts,other_countries,Mitte,Stein,other,Berlin,1857,1804,1952,53
m,History,Socialists,NSresistance_persecuted,Mitte,Acrylglas,no_information,Berlin,1942,0,2001,1942
m,History,Socialists,NSresistance_persecuted,Mitte,Stein,other,KZ or NS_capture,1944,1904,0,40
m,Culture,Creative_Arts,no_specific_context,Wedding,"Bronze, Messing, Kupfer",other,Berlin,1953,1880,0,73
m,History,Politics_Administration,Prussian_times,Mitte,Stein,other,Berlin,1942,1861,1996,81
f,Religion and Philosophy,Jewish_Synagogue,NSresistance_persecuted,Mitte,Acrylglas,Berlin,KZ or NS_capture,1944,1902,2001,42
m,Culture,Creative_Arts,no_specific_context,Gesundbrunnen,"Bronze, Messing, Kupfer",Berlin,outside Germany,1955,1892,0,63
m,History,Politics_Administration,NSresistance_persecuted,Wedding,"Bronze, Messing, Kupfer",other,other in Germany,1952,1898,0,54
m,Culture,Creative_Arts,Prussian_times,Mitte,Stein,other,Berlin,1798,1725,0,73
m,History,Politics_Administration,no_specific_context,Wedding,"Bronze, Messing, Kupfer",other,Berlin,1935,1869,0,66
m,Culture,Creative_Arts,SocialPolicy_issues,Wedding,"Bronze, Messing, Kupfer",other,Berlin,1889,1837,0,52
m,History,Military_Police,no_specific_context,Gesundbrunnen,"Bronze, Messing, Kupfer",no_information,Berlin,1953,0,0,1953
m,Religion and Philosophy,Christian_Church,no_specific_context,Mitte,Stein,no_information,Berlin,1801,1744,0,57
m,Science and Research,Education_School,no_specific_context,Wedding,"Bronze, Messing, Kupfer",no_information,no_information,0,1896,0,-1896
f,Culture,Creative_Arts,no_specific_context,Mitte,Stein,other,Berlin,1791,1722,0,69
m,Science and Research,Science_otherResearch,SocialPolicy_issues,Mitte,Acrylglas,Berlin,Berlin,1919,1860,2002,59
m,Science and Research,Science_otherResearch,GDR_GDR_personality,Mitte,"Bronze, Messing, Kupfer",other,Berlin,1978,1898,1981,80
m,Culture,Creative_Arts,no_specific_context,Wedding,"Bronze, Messing, Kupfer",Berlin,Berlin,1961,1897,1981,64
m,History,Socialists,NSresistance_persecuted,Wedding,"Bronze, Messing, Kupfer",other,Berlin,1942,1890,0,52
m,History,Socialists,NSresistance_persecuted,Wedding,other,no_information,no_information,0,0,1951,0
f,History,CivilSocietyOrganisation,SocialPolicy_issues,Mitte,"Bronze, Messing, Kupfer",other,Berlin,1917,1853,2003,64
m,History,CivilSocietyOrganisation,no_specific_context,Mitte,"Bronze, Messing, Kupfer",no_information,no_information,0,0,0,0
m,History,Politics_Administration,SocialPolicy_issues,Mitte,Porzellan,other,Berlin,1947,1867,2003,80
m,History,Socialists,NSresistance_persecuted,Mitte,"Bronze, Messing, Kupfer",other,KZ or NS_capture,1944,1886,1952,58
m,Culture,Creative_Arts,other_countries,Mitte,"Bronze, Messing, Kupfer",other,outside Germany,1886,1796,0,90
m,Religion and Philosophy,Christian_Church,Prussian_times,Mitte,Stein,other,Berlin,1741,0,2000,1741
m,Culture,Creative_Arts,no_specific_context,Mitte,Metall_Stahl,other,Berlin,1858,1799,2009,59
f,History,Civilian,NSresistance_persecuted,Gesundbrunnen,"Bronze, Messing, Kupfer",no_information,Berlin,1967,1893,2003,74
m,Science and Research,Science_otherResearch,no_specific_context,Mitte,Stein,Berlin,Berlin,1915,1836,0,79
m,History,Socialists,NovemberRevolution_Weimar,Tiergarten,Acrylglas,Leipzig,Berlin,1919,1871,2003,48
m,History,Military_Police,other_countries,Tiergarten,"Bronze, Messing, Kupfer",no_information,outside Germany,2001,0,2003,2001
m,Science and Research,Science_otherResearch,Prussian_times,Mitte,"Bronze, Messing, Kupfer",Berlin,Berlin,1859,1769,2004,90
m,History,Politics_Administration,no_specific_context,Mitte,Stein,no_information,no_information,1721,0,0,1721
m,History,Socialists,NSresistance_persecuted,Mitte,"Bronze, Messing, Kupfer",Berlin,Berlin,1944,1910,2005,34
m,Culture,Creative_Arts,SocialPolicy_issues,Tiergarten,"Bronze, Messing, Kupfer",Breslau,outside Germany,1864,1825,2005,39
m,History,Politics_Administration,AntiWar,Tiergarten,Acrylglas,other,outside Germany,1935,1866,2008,69
m,History,Politics_Administration,GDR_GDR_personality,Mitte,Stein,other,Berlin,1960,1876,0,84
m,History,Politics_Administration,no_specific_context,Mitte,Porzellan,other,other in Germany,1967,1876,1994,91
m,History,Politics_Administration,AntiWar,Mitte,Metall_Stahl,other,Berlin,1919,1863,0,56
m,Culture,Creative_Arts,no_specific_context,Moabit,Porzellan,other,Berlin,1954,1908,2010,46
f,Culture,Creative_Arts,no_specific_context,Tiergarten,Porzellan,other,Berlin,1859,1785,1990,74
f,Religion and Philosophy,Jewish_Synagogue,no_specific_context,Hansaviertel,Porzellan,no_information,no_information,0,0,2011,0
m,History,Politics_Administration,Jewish,Mitte,Porzellan,other,other in Germany,1960,1881,0,79
m,History,Socialists,NSresistance_persecuted,Gesundbrunnen,Porzellan,Berlin,KZ or NS_capture,1942,1895,1991,47
m,Culture,Creative_Arts,no_specific_context,Hansaviertel,Porzellan,other,other in Germany,1925,1858,1998,67
f,Science and Research,Medical,no_specific_context,Mitte,Metall_Stahl,other,Berlin,1932,1841,2006,91
m,Religion and Philosophy,Christian_Church,other,Gesundbrunnen,Porzellan,other,Berlin,1936,1866,1991,70
m,Religion and Philosophy,Christian_Church,other,Moabit,Porzellan,other,other in Germany,1970,1882,1990,88
groups of mixed gender,History,Civilian,NSresistance_persecuted,Mitte,Porzellan,no_information,no_information,0,0,0,0
m,History,Medical,no_specific_context,Wedding,Porzellan,other,KZ or NS_capture,1940,1885,1990,55
m,Religion and Philosophy,Jewish_Synagogue,Jewish,Mitte,Porzellan,other,Berlin,1874,1810,2010,64
m,Business,Chairman_Business_Finances,other,Tiergarten,Porzellan,other,other in Germany,1956,1882,2010,74
m,History,Politics_Administration,no_specific_context,Tiergarten,Porzellan,other,Berlin,1931,1876,2011,55
m,History,Medical,NSresistance_persecuted,Moabit,Porzellan,other,KZ or NS_capture,1944,1904,1995,40
groups of mixed gender,History,Civilian,NSresistance_persecuted,Wedding,Porzellan,other,Berlin,1943,1897,1989,46
f,Science and Research,Science_otherResearch,no_specific_context,Tiergarten,Porzellan,Breslau,Berlin,1989,1897,1997,92
m,Culture,Creative_Arts,other_countries,Mitte,other,other,outside Germany,1896,1861,0,35
m,Science and Research,Science_otherResearch,no_specific_context,Tiergarten,Porzellan,other,Berlin,1945,1871,1997,74
f,History,CivilSocietyOrganisation,Jewish,Mitte,Acrylglas,other,Berlin,1936,1859,2012,77
m,History,Politics_Administration,no_specific_context,Mitte,"Bronze, Messing, Kupfer",Potsdam,Berlin,1882,1797,0,85
m,Religion and Philosophy,Jewish_Synagogue,Jewish,Mitte,Porzellan,other,Berlin,1828,1768,2010,60
m,Culture,Architecture,no_specific_context,Mitte,"Bronze, Messing, Kupfer",other,Berlin,1879,1813,2007,66
m,Science and Research,Medical,no_specific_context,Mitte,"Bronze, Messing, Kupfer",Berlin,outside Germany,1938,1866,2003,72
m,History,Politics_Administration,no_specific_context,Moabit,Porzellan,other,Berlin,1961,1882,2011,79
m,Culture,Creative_Arts,no_specific_context,Mitte,Porzellan,other,Berlin,1940,1878,2010,62
f,Culture,Creative_Arts,no_specific_context,Mitte,"Bronze, Messing, Kupfer",Berlin,Berlin,1803,1771,0,32
m,History,Medical,no_specific_context,Mitte,Stein,no_information,no_information,1870,1828,1908,42
m,Science and Research,Science_otherResearch,no_specific_context,Mitte,Stein,Potsdam,other in Germany,1894,1821,1908,73
m,History,CivilSocietyOrganisation,SocialPolicy_issues,Mitte,Porzellan,no_information,no_information,0,1847,1988,-1847
m,Science and Research,Science_otherResearch,no_specific_context,Gesundbrunnen,Stein,Berlin,Berlin,1859,1769,0,90
f,Culture,Creative_Arts,NSresistance_persecuted,Mitte,Metall_Stahl,other,Berlin,1943,1905,1979,38
m,Culture,Creative_Arts,Prussian_times,Mitte,Porzellan,Berlin,Berlin,1811,1733,2011,78
m,History,Socialists,NSresistance_persecuted,Mitte,Metall_Stahl,no_information,no_information,0,0,0,0
m,Religion and Philosophy,Christian_Church,NSresistance_persecuted,Wedding,Porzellan,Potsdam,Berlin,1972,1903,1998,69
m,Culture,Creative_Arts,no_specific_context,Mitte,Metall_Stahl,Berlin,other in Germany,1942,1887,1994,55
m,Religion and Philosophy,Christian_Church,no_specific_context,Gesundbrunnen,Porzellan,Berlin,Berlin,1967,1892,0,75
m,Culture,Creative_Arts,no_specific_context,Gesundbrunnen,Porzellan,no_information,no_information,0,1865,1992,-1865
m,Culture,Creative_Arts,no_specific_context,Gesundbrunnen,Metall_Stahl,Berlin,other in Germany,2005,1929,0,76
m,Business,Creative_Arts,other,Mitte,Porzellan,no_information,no_information,0,0,2008,0
m,Religion and Philosophy,Chairman_Business_Finances,NSresistance_persecuted,Gesundbrunnen,"Bronze, Messing, Kupfer",other,Berlin,1992,1912,0,80
f,Culture,Creative_Arts,NSresistance_persecuted,Hansaviertel,Porzellan,other,outside Germany,1970,1891,1995,79
m,Culture,Creative_Arts,no_specific_context,Mitte,"Bronze, Messing, Kupfer",other,outside Germany,1943,1873,0,70
m,Science and Research,Science_otherResearch,no_specific_context,Tiergarten,Porzellan,other,Berlin,1899,1827,1989,72
f,History,Civilian,NSresistance_persecuted,Moabit,Porzellan,no_information,no_information,0,0,1996,0
m,Science and Research,Medical,no_specific_context,Mitte,"Bronze, Messing, Kupfer",other,outside Germany,1938,1858,1992,80
m,Business,Chairman_Business_Finances,no_specific_context,Wedding,Porzellan,other,Berlin,1889,1824,1988,65
m,Science and Research,Science_otherResearch,no_specific_context,Tiergarten,Porzellan,other,Berlin,1985,1907,2002,78
m,Science and Research,Science_otherResearch,no_specific_context,Gesundbrunnen,Metall_Stahl,other,Berlin,1940,1860,0,80
m,Culture,Creative_Arts,no_specific_context,Mitte,Porzellan,Berlin,Berlin,1906,1836,2009,70
m,Science and Research,Science_otherResearch,GDRflight_victim,Gesundbrunnen,Metall_Stahl,other,no_information,0,1940,2010,-1940
m,Business,Chairman_Business_Finances,no_specific_context,Gesundbrunnen,Porzellan,other,Berlin,1892,1825,1989,67
groups of mixed gender,History,Civilian,NSresistance_persecuted,Mitte,"Bronze, Messing, Kupfer",other,KZ or NS_capture,1944,1883,1999,61
m,History,Civilian,NSresistance_persecuted,Mitte,"Bronze, Messing, Kupfer",Berlin,Berlin,1945,1886,0,59
m,History,Politics_Administration,no_specific_context,Moabit,Porzellan,other,Berlin,1938,1882,1989,56
m,History,CivilSocietyOrganisation,other,Gesundbrunnen,"Bronze, Messing, Kupfer",no_information,no_information,0,0,0,0
m,Culture,Creative_Arts,other_countries,Tiergarten,Porzellan,other,outside Germany,1910,1835,2011,75
m,Religion and Philosophy,Christian_Church,other,Gesundbrunnen,Stein,other,Berlin,1873,1815,0,58
m,Science and Research,Medical,no_specific_context,Wedding,Porzellan,other,Berlin,1902,1821,1988,81
m,Science and Research,Science_otherResearch,no_specific_context,Mitte,Stein,Berlin,Berlin,1995,1918,0,77
m,Science and Research,Education_School,no_specific_context,Mitte,"Bronze, Messing, Kupfer",Potsdam,Berlin,1835,1767,1998,68
m,Culture,Creative_Arts,other,Hansaviertel,"Bronze, Messing, Kupfer",Berlin,outside Germany,1989,0,0,1989
m,Business,Chairman_Business_Finances,no_specific_context,Mitte,"Bronze, Messing, Kupfer",other,Berlin,1933,1855,1997,78
m,Science and Research,Science_otherResearch,no_specific_context,Mitte,"Bronze, Messing, Kupfer",other,outside Germany,1955,1879,1965,76
m,History,Medical,no_specific_context,Hansaviertel,Metall_Stahl,no_information,no_information,1870,1828,0,42
m,Science and Research,Science_otherResearch,no_specific_context,Mitte,Metall_Stahl,other,outside Germany,1783,1707,0,76
m,Religion and Philosophy,Christian_Church,other,Mitte,Metall_Stahl,Breslau,Berlin,1834,1768,1985,66
m,Religion and Philosophy,other,no_specific_context,Mitte,Metall_Stahl,other,Berlin,1831,1770,0,61
m,Science and Research,Science_otherResearch,no_specific_context,Mitte,Metall_Stahl,other,outside Germany,1955,1879,1994,76
m,History,Politics_Administration,SocialPolicy_issues,Hansaviertel,Metall_Stahl,other,Berlin,1939,1865,0,74
m,Culture,Creative_Arts,no_specific_context,Mitte,Metall_Stahl,other,Berlin,1822,1776,0,46
m,History,Medical,no_specific_context,Mitte,Metall_Stahl,other,Berlin,1836,1762,0,74
m,Business,Chairman_Business_Finances,no_specific_context,Mitte,Metall_Stahl,other,other in Germany,1864,1790,1997,74
m,Culture,Architecture,Prussian_times,Mitte,Metall_Stahl,other,Berlin,1841,1781,0,60
m,Culture,Creative_Arts,no_specific_context,Mitte,Metall_Stahl,other,outside Germany,1890,1819,0,71
m,Culture,Creative_Arts,no_specific_context,Mitte,Metall_Stahl,other,Berlin,1811,1777,0,34
m,Science and Research,Science_otherResearch,no_specific_context,Mitte,Metall_Stahl,Berlin,outside Germany,0,1880,1980,-1880
m,Science and Research,Medical,no_specific_context,Mitte,Metall_Stahl,other,Baden-Baden,1910,1843,1982,67
m,Culture,Creative_Arts,NSresistance_persecuted,Moabit,Metall_Stahl,other,Berlin,1938,1889,0,49
groups of mixed gender,History,Civilian,NSresistance_persecuted,Mitte,Metall_Stahl,no_information,no_information,0,0,0,0
m,History,Socialists,NSresistance_persecuted,Mitte,Metall_Stahl,other,KZ or NS_capture,1944,1904,0,40
m,Culture,Creative_Arts,no_specific_context,Mitte,Metall_Stahl,other,other in Germany,1781,1729,0,52
